name,text,parent_id
Политика,NULL,NULL
Экономика,NULL,NULL
Наука,NULL,NULL
Культура,NULL,NULL
России,NULL,1
США,NULL,1
Австрия,NULL,1
Мировая,NULL,2
Отечественная,NULL,2
Иностранная,NULL,2
Подкатегория 1,NULL,5
Подкатегория 2,NULL,5
Новость об политике России 1,Описание,11
Новость об политике России 2,Описание,12
Новость об политике России 3,Описание,12
Новость об политике США 1,Описание,6
Новость об политике США 2,Описание,6
Новость об политике США 3,Описание,6
Новость об политике Австрии,Описание,7
Новость об отечественной экономике,Описание,9
